DATE,V2TX,V6I1,V6I2
2000-08-24,19.8195,19.5152,20.1927
2000-08-25,19.2467,18.7041,19.7952
2000-08-28,19.7272,19.3523,19.9587
2000-08-29,19.8354,19.4605,20.0325
2000-08-30,20.1445,21.202,19.6463
2000-08-31,19.6192,19.459,19.6806
2000-09-01,19.1432,18.5528,19.3322
2000-09-04,19.608,20.2724,19.4772
2000-09-05,20.5245,21.3452,20.3907
2000-09-06,20.6624,21.805,20.5092
2000-09-07,19.9145,20.2496,19.8792
2000-09-08,20.4529,21.0242,20.4052
2000-09-11,20.1723,22.0412,20.1086
2000-09-12,20.0698,21.9636,20.0283
2000-09-13,20.5915,24.9155,20.5362
2000-09-14,20.3929,,20.0037
2000-09-15,19.8744,,19.6766
2000-09-18,21.1522,21.0082,19.8284
2000-09-19,21.4403,21.3713,20.0482
2000-09-20,22.0206,22.0457,20.388
2000-09-21,24.8499,25.1614,21.1078
2000-09-22,24.4241,25.0295,20.5956
2000-09-25,23.134,24.3045,20.5351
2000-09-26,22.6903,24.2834,19.8687
2000-09-27,22.387,24.0662,20.0165
2000-09-28,21.9375,23.7839,19.8125
2000-09-29,23.3527,23.2676,23.4261
2000-10-02,23.5058,23.5992,23.4589
2000-10-03,23.2025,23.3365,23.1463
2000-10-04,23.5726,24.3469,23.2965
2000-10-05,23.1713,23.2008,23.1627
2000-10-06,23.228,24.0505,23.027
2000-10-09,25.2841,28.6973,24.8181
2000-10-10,25.6899,28.7734,25.3631
2000-10-11,27.7018,32.6526,27.2885
2000-10-12,27.6395,32.9768,27.3074
2000-10-13,28.6457,34.4976,28.3866
2000-10-16,27.4471,34.0374,27.3879
2000-10-17,26.9909,31.2455,26.9792
2000-10-18,29.8545,39.5924,29.8553
2000-10-19,27.5447,,27.5453
2000-10-20,26.4015,,26.2618
2000-10-23,26.5041,26.4662,26.5814
2000-10-24,25.6512,25.7729,25.4546
2000-10-25,26.7632,27.009,26.4432
2000-10-26,27.3998,27.8597,26.908
2000-10-27,26.3201,26.582,26.0912
2000-10-30,26.4888,26.7721,26.3458
2000-10-31,25.3007,25.2531,25.3206
2000-11-01,24.8817,24.7896,24.9137
2000-11-02,24.4974,23.9677,24.6486
2000-11-03,23.5439,22.8985,23.6956
2000-11-06,24.153,23.6862,24.2115
2000-11-07,24.3339,24.3151,24.3358
2000-11-08,24.2379,24.9066,24.1862
2000-11-09,24.2536,24.1516,24.2593
2000-11-10,25.5209,26.749,25.4706
2000-11-13,28.0549,35.773,27.9845
2000-11-14,25.58,31.1908,25.5641
2000-11-15,25.1041,29.9963,25.1136
2000-11-16,24.9593,,24.9908
2000-11-17,24.8839,,24.9322
2000-11-20,26.3919,26.737,25.5594
2000-11-21,25.5011,25.8557,24.8252
2000-11-22,26.9424,27.5761,25.9533
2000-11-23,26.1599,26.7397,25.4179
2000-11-24,25.3792,25.9249,24.799
2000-11-27,25.9746,27.5615,24.9281
2000-11-28,26.2554,27.7292,25.4349
2000-11-29,26.202,27.5936,25.546
2000-11-30,28.3822,31.2737,27.1862
2000-12-01,27.2654,29.7701,26.396
2000-12-04,28.1715,31.4434,27.4953
2000-12-05,26.1682,29.4216,25.6116
2000-12-06,25.6741,28.3754,25.3018
2000-12-07,25.8519,29.2455,25.4717
2000-12-08,25.4143,27.5884,25.2274
2000-12-11,24.7145,29.2426,24.5532
2000-12-12,24.2173,30.0743,24.0794
2000-12-13,23.8414,32.4991,23.7229
2000-12-14,24.9575,,24.1652
2000-12-15,25.5995,,24.6823
2000-12-18,24.4511,24.1703,21.8144
2000-12-19,24.3914,24.3012,22.5642
2000-12-20,27.2206,27.2982,21.837
2000-12-21,27.9824,28.0719,26.9749
2000-12-22,27.4624,27.5682,26.8454
2000-12-27,27.03,27.223,26.7793
2000-12-28,26.7269,26.9868,26.451
2000-12-29,26.2264,26.2456,26.2097
2001-01-02,27.7303,28.7116,27.3094
2001-01-03,28.6179,30.1668,28.0577
2001-01-04,26.9197,28.1549,26.5513
2001-01-05,26.5915,27.2308,26.4363
2001-01-08,27.2654,29.3731,26.9866
2001-01-09,27.0958,29.3006,26.8668
2001-01-10,26.4681,28.2225,26.3298
2001-01-11,24.84,26.3129,24.7543
2001-01-12,23.6527,23.3952,23.663
2001-01-15,23.7621,26.539,23.7385
2001-01-16,24.1272,29.5815,24.1117
2001-01-17,23.4431,29.2446,23.4373
2001-01-18,23.2996,,23.2508
2001-01-19,22.7919,,22.7335
2001-01-22,23.3179,23.346,23.2602
2001-01-23,23.1033,22.9198,23.3948
2001-01-24,22.4584,22.1956,22.7925
2001-01-25,22.0112,21.728,22.3049
2001-01-26,21.9228,21.6189,22.1828
2001-01-29,22.0578,22.0974,22.0379
2001-01-30,22.5248,22.9201,22.3574
2001-01-31,22.2534,22.5959,22.1327
